iso_code;year;nodf_drought;nodf_earthquakes;nodf_volcanic_activity;nodf_floods;nodf_storms;nodf_landslides;nodf_wildfires;nodf_extreme_temperatures
BLR;1960;0;0;0;0;0;0;0;0
BLR;1970;0;0;0;0;0;0;0;0
BLR;1980;0;0;0;0;0;0;0;0
BLR;1990;0;0;0;0.2;0.5;0;0;0
BLR;2000;0;0;0;0;0;0;0;0.5
BLR;2010;0;0;0;0;0;0;0;4.9
BLR;2020;0;0;0;0;0;0;0;0
BEL;1950;0;0;0;1.5;0;0;0;0
BEL;1960;0;0;0;0;0;0;0;1.2
BEL;1970;0;0;0;0;0;0;0;0
BEL;1980;0;0.2;0;0;0;0;0;0
BEL;1990;0;0;0;0.1;2.4;0;0;0
BEL;2000;0;0;0;0.2;0.7;0;0;211.8
BEL;2010;0;0;0;0.4;0.8;0;0;112.9
BEL;2020;0;0;0;13;0.67;0;0;486.67
BLZ;1950;0;0;0;0;1.6;0;0;0
BLZ;1960;0;0;0;0;27.5;0;0;0
BLZ;1970;0;0;0;0;0.5;0;0;0
BLZ;1980;0;0;0;0;0;0;0;0
BLZ;1990;0;0;0;0;0.9;0;0;0
BLZ;2000;0;0;0;0.1;5.4;0;0;0
BLZ;2010;0;0;0;0;0;0;0;0
BLZ;2020;0;0;0;0;0;0;0;0
BEN;1950;0;0;0;0;0;0;0;0
BEN;1960;0;0;0;0;0;0;0;0
BEN;1970;0;0;0;0;0;0;0.2;0
BEN;1980;0;0;0;6.1;0;0;0;0
BEN;1990;0;0;0;3.7;0;0;0;0
BEN;2000;0;0;0;3.5;0;0;0;0
BEN;2010;0;0;0;5;0;0;0.1;0
BEN;2020;0;0;0;21;0;0;0;0
BMU;1950;0;0;0;0;0;0;0;0
BMU;1960;0;0;0;0;0;0;0;0
BMU;1970;0;0;0;0;0;0;0;0
BMU;1980;0;0;0;0;0;0;0;0
BMU;1990;0;0;0;0;0;0;0;0
BMU;2000;0;0;0;0;0.4;0;0;0
BMU;2010;0;0;0;0;0;0;0;0
BMU;2020;0;0;0;0;0;0;0;0
BTN;1950;0;0;0;0;0;0;0;0
BTN;1960;0;0;0;0;0;0;0;0
BTN;1970;0;0;0;0;0;0;0;0
BTN;1980;0;0;0;0;0;0;0;0
BTN;1990;0;0;0;2.2;1.7;0;0;0
BTN;2000;0;1.1;0;20;1.2;0;0;0
BTN;2010;0;0.1;0;0;0;0;0;0
BTN;2020;0;0;0;3.33;0;0;0;0
BOL;1950;0;0;0;0;0;0;0;0
BOL;1960;0;0;0;7.8;0;0;0;0
BOL;1970;0;0;0;8.1;0;0;0;0
BOL;1980;0;0;0;30.4;0;0;0;0
BOL;1990;0;10;0;6;0;14.9;0.3;0
BOL;2000;0;0;0;36.1;2;6.9;0;1.5
BOL;2010;0;0;0;32.3;0;11.6;0;2.2
BOL;2020;0;0;0;45.33;0;0;1.67;0
BIH;1950;0;0;0;0;0;0;0;0
BIH;1960;0;0;0;0;0;0;0;0
BIH;1970;0;0;0;0;0;0;0;0
BIH;1980;0;0;0;0;0;0;0;0
BIH;1990;0;0;0;0;0;0;0;0
BIH;2000;0;0;0;0;0.4;0.6;0;0.1
BIH;2010;0;0;0;3;0;0;0;0.6
BIH;2020;0;0.33;0;0;0;0;0;0
BWA;1950;0;0;0;0;0;0;0;0
BWA;1960;0;0;0;0;0;0;0;0
BWA;1970;0;0;0;0;0;0;0;0
BWA;1980;0;0;0;0.8;0;0;0;0
BWA;1990;0;0;0;2;0;0;0;0
BWA;2000;0;0;0;0.3;0;0;0;0
BWA;2010;0;0;0;1.2;0;0;0;0
BWA;2020;0;0;0;0;0;0;0;0
BRA;1950;0;0;0;21.2;5.9;6.6;0;0
BRA;1960;0;0;0;181.8;3.6;78.6;0;11.3
BRA;1970;0;0;0;114.2;1;12.1;0;12.6
BRA;1980;2;0.1;0;159.8;11.6;14.3;0;7.7
BRA;1990;0;0;0;38.6;0.3;37.8;0.1;0
BRA;2000;0;0.1;0;86.6;2.6;22.1;0;0.7
BRA;2010;0;0;0;161.6;0.4;3;0;3.2
BRA;2020;0;0;0;230.33;4;0;0;0
VGB;1950;0;0;0;0;0;0;0;0
VGB;1960;0;0;0;0;0;0;0;0
VGB;1970;0;0;0;0;0;0;0;0
VGB;1980;0;0;0;0;0;0;0;0
VGB;1990;0;0;0;0;0;0;0;0
VGB;2000;0;0;0;0;0;0;0;0
VGB;2010;0;0;0;0;0.9;0;0;0
VGB;2020;0;0;0;0;0;0;0;0
BRN;1950;0;0;0;0;0;0;0;0
BRN;1960;0;0;0;0;0;0;0;0
BRN;1970;0;0;0;0;0;0;0;0
BRN;1980;0;0;0;0;0;0;0;0
BRN;1990;0;0;0;0;0;0;0;0
BRN;2000;0;0;0;0;0;0;0;0
BRN;2010;0;0;0;0;0;0;0;0
BRN;2020;0;0;0;0;0;0;0;0
BGR;1950;0;0;0;0;0;0;0;0
BGR;1960;0;0;0;0;0;1.1;0;0
BGR;1970;0;2;0;0;0;0;0;0
BGR;1980;0;0.3;0;0;0;0;0;0
BGR;1990;0;0.1;0;0;0;0;0;0.3
BGR;2000;0;0;0;5.2;0.2;0;1;3.7
BGR;2010;0;0;0;3;0.1;0;0;3.6
BGR;2020;0;0;0;0;0;0;0;0
BFA;1950;0;0;0;0;0;0;0;0
BFA;1960;0;0;0;0;0;0;0;0
BFA;1970;0;0;0;0;0;0;0;0
BFA;1980;0;0;0;1.6;0;0;0;0
BFA;1990;0;0;0;2.8;0;0;0;0
BFA;2000;0;0;0;6.7;0;0;0;0
BFA;2010;0;0;0;6.1;0;0;0;0
BFA;2020;0;0;0;4.33;0;0;0;0
BDI;1950;0;0;0;0;0;0;0;0
BDI;1960;0;0;0;0;0;0;0;0
BDI;1970;0;0;0;0;0;0;0;0
BDI;1980;0;0;0;1.2;0;0;0;0
BDI;1990;0.6;0;0;0;0;0;0;0
BDI;2000;12;0.3;0;3.6;0;0;0;0
BDI;2010;0;0;0;17.2;2.1;5.4;0;0
BDI;2020;0;0;0;1;0.67;0;0;0
KHM;1950;0;0;0;0;0;0;0;0
KHM;1960;0;0;0;0;0;0;0;0
KHM;1970;0;0;0;0;0;0;0;0
KHM;1980;0;0;0;0;0;0;0;0
KHM;1990;0;0;0;67.2;2.5;0;0;0
KHM;2000;0;0;0;45.5;1.9;0;0;0
KHM;2010;0;0;0;52.6;0;0;0;0
KHM;2020;0;0;0;5;20.33;0;0;0
CMR;1950;0;0;0;0;0;0;0;0
CMR;1960;0;0;0;0;0;0;0;0
CMR;1970;0;0;0;0;0;0;0;0
CMR;1980;0;0;178.3;0.2;0;0;0;0
CMR;1990;0;0;0;3.2;0;0;0;0
CMR;2000;0;0;0;5.2;0;2;0;0
CMR;2010;0;0;0;4.5;0;5.4;0;0
CMR;2020;0;0;0;0.67;0;1.67;0;0
CAN;1950;0;0;0;0.1;8.9;0;0;0
CAN;1960;0;0;0;0;3.3;2.6;0;0
CAN;1970;0;0;0;0;2.4;0;0;0
CAN;1980;0;0;0;0.3;3.8;0;0.1;0
CAN;1990;0;0;0;2.5;3.8;0;0;0
CAN;2000;0;0;0;0.9;3.2;0;0.1;0
CAN;2010;0;0;0;1.2;0.3;0;0.1;8
CAN;2020;0;0;0;1.67;4;0;0.67;271.67
CPV;1950;0;0;0;0;0;0;0;0
CPV;1960;0;0;0;0;0;0;0;0
CPV;1970;0;0;0;0;0;0;0;0
CPV;1980;0;0;0;0;3.2;0;0;0
CPV;1990;0;0;0;0;0;0;0;0
CPV;2000;0;0;0;0.3;0;0;0;0
CPV;2010;0;0;0;0;0.9;0;0;0
CPV;2020;0;0;0;0.33;0;0;0;0
CYM;1950;0;0;0;0;0;0;0;0
CYM;1960;0;0;0;0;0;0;0;0
CYM;1970;0;0;0;0;0;0;0;0
CYM;1980;0;0;0;0;0;0;0;0
CYM;1990;0;0;0;0;0;0;0;0
CYM;2000;0;0;0;0;0.2;0;0;0
CYM;2010;0;0;0;0;0;0;0;0
CYM;2020;0;0;0;0;0;0;0;0
CAF;1950;0;0;0;0;0;0;0;0
CAF;1960;0;0;0;0;0;0;0;0
CAF;1970;0;0;0;0;0;0;0;0
CAF;1980;0;0;0;0;0;0;0;0
CAF;1990;0;0;0;0.7;0;0;0;0
CAF;2000;0;0;0;0.6;0.6;0;0.1;0
CAF;2010;0;0;0;0.3;0.2;0;0;0
CAF;2020;0;0;0;5.33;0;0;0;0
TCD;1950;0;0;0;0;0;0;0;0
TCD;1960;0;0;0;0;0;0;0;0
TCD;1970;0;0;0;0;1.3;0;0;0
TCD;1980;300;0;0;4.3;1.1;0;0;0
TCD;1990;0;0;0;4.1;0;0;0;0
TCD;2000;0;0;0;17.3;1.4;0;0;0
TCD;2010;0;0;0;4.4;0;5.2;0;0
TCD;2020;0;0;0;19;0;0;0;0
CHL;1950;0;1.5;0;0;0;0;0;0
CHL;1960;0;640.4;0.4;60;5.8;2.6;0;0
CHL;1970;0;8.5;0;3.6;1.5;3;0;0
CHL;1980;0;18.9;0;17.1;14.3;3.2;0;0
CHL;1990;0;1.1;0.6;15.9;0.4;14.1;1;0.2
CHL;2000;0;2.3;0;7.4;4.7;0;0;0.6
CHL;2010;0;59;0;20.5;0.6;2.2;3.2;0
CHL;2020;0;0;0;0;0;0;0;0
CHN;1950;0;9.3;0;204004.7;378.4;0;0;0
CHN;1960;0;300;0;0;68.6;0;0;0
CHN;1970;0;27404.2;0;2000;10.7;0;0;0
CHN;1980;140;126.4;0;1418.7;323.1;37.5;19.1;0.2
CHN;1990;200;64;0;1792.5;563.6;124.8;5.2;14.4
CHN;2000;13.4;8794.7;0;577;318;95.9;0;19.1
CHN;2010;0;421.8;0;622.7;159.3;274.7;5.2;4.7
CHN;2020;0;45;0;297.33;35;5.67;6.33;0
