iso_code;year;total_reconstruction_costs;total_insured_damages;total_economic_damages
BGR;1990;0;0;0
BGR;2000;0;0;47810400
BGR;2010;0;7300000;94220000
BGR;2020;0;0;15333333
BFA;1950;0;0;0
BFA;1960;0;0;0
BFA;1970;0;0;0
BFA;1980;0;0;0
BFA;1990;0;0;0
BFA;2000;600000;0;15000000
BFA;2010;0;0;3117600
BFA;2020;0;0;0
BDI;1950;0;0;0
BDI;1960;0;0;0
BDI;1970;0;0;0
BDI;1980;0;0;0
BDI;1990;0;0;0
BDI;2000;0;0;0
BDI;2010;0;0;1500000
BDI;2020;0;0;0
KHM;1950;0;0;0
KHM;1960;0;0;0
KHM;1970;0;0;0
KHM;1980;0;0;0
KHM;1990;0;0;15201000
KHM;2000;0;0;17610000
KHM;2010;0;0;109300000
KHM;2020;0;0;33333334
CMR;1950;0;0;0
CMR;1960;0;0;0
CMR;1970;0;0;0
CMR;1980;0;0;0
CMR;1990;0;0;0
CMR;2000;0;0;0
CMR;2010;0;0;200000
CMR;2020;0;0;0
CAN;1950;0;0;20000000
CAN;1960;0;0;0
CAN;1970;0;0;3600000
CAN;1980;0;27950000;494900000
CAN;1990;0;159790000;535410000
CAN;2000;0;46100000;189800000
CAN;2010;7800000;683253000;1642300000
CAN;2020;0;300000000;1535304006
CPV;1950;0;0;0
CPV;1960;0;0;0
CPV;1970;0;0;150000
CPV;1980;0;0;300000
CPV;1990;0;0;0
CPV;2000;0;0;0
CPV;2010;0;0;110000
CPV;2020;0;0;0
CYM;1950;0;0;0
CYM;1960;0;0;0
CYM;1970;0;0;300000000
CYM;1980;0;0;181000000
CYM;1990;0;0;0
CYM;2000;0;154000000;349658000
CYM;2010;0;0;0
CYM;2020;0;0;0
CAF;1950;0;0;0
CAF;1960;0;0;0
CAF;1970;0;0;0
CAF;1980;0;0;12500
CAF;1990;0;0;0
CAF;2000;0;0;0
CAF;2010;0;0;0
CAF;2020;0;0;0
TCD;1950;0;0;0
TCD;1960;0;0;0
TCD;1970;0;0;0
TCD;1980;0;0;15700
TCD;1990;0;0;0
TCD;2000;0;0;100000
TCD;2010;0;0;1000000
TCD;2020;0;0;0
CHL;1950;0;0;51741000
CHL;1960;0;0;68540000
CHL;1970;0;0;25570000
CHL;1980;0;9000000;169620000
CHL;1990;300000;3400000;69706000
CHL;2000;0;4000000;45690000
CHL;2010;0;903000000;3518910000
CHL;2020;0;0;58333332
CHN;1950;0;0;0
CHN;1960;0;0;8300000
CHN;1970;0;0;560000000
CHN;1980;0;0;1245036800
CHN;1990;0;41940000;10895152500
CHN;2000;0;244200000;17657257800
CHN;2010;0;515400000;22118523600
CHN;2020;0;283333340;16703167040
COL;1950;0;0;500000
COL;1960;0;0;5615000
COL;1970;0;0;16725000
COL;1980;0;0;147340000
COL;1990;0;10000000;206366900
COL;2000;0;0;2000000
COL;2010;0;5500000;354000000
COL;2020;0;0;53333335
COM;1950;0;0;0
COM;1960;0;0;2711800
COM;1970;0;0;0
COM;1980;0;0;98569100
COM;1990;0;0;1399030000
COM;2000;0;0;875011500
COM;2010;0;0;1164100000
COM;2020;0;0;2700000000
COG;1950;0;0;0
COG;1960;0;0;0
COG;1970;0;0;0
COG;1980;0;0;0
COG;1990;0;0;5900
COG;2000;0;0;0
COG;2010;0;0;0
COG;2020;0;0;0
COK;1950;0;0;0
COK;1960;0;0;0
COK;1970;0;0;0
COK;1980;0;0;2500000
COK;1990;0;0;0
COK;2000;0;0;0
COK;2010;0;0;0
COK;2020;0;0;0
CRI;1950;0;0;0
CRI;1960;0;0;900000
CRI;1970;0;0;3020000
CRI;1980;0;0;7500000
CRI;1990;0;0;67089000
CRI;2000;0;10000000;34800000
CRI;2010;0;3200000;23000000
CRI;2020;0;0;0
CIV;1950;0;0;0
CIV;1960;0;0;0
CIV;1970;0;0;0
CIV;1980;0;0;0
CIV;1990;0;0;0
CIV;2000;0;0;0
CIV;2010;0;0;0
CIV;2020;0;0;0
HRV;1950;0;0;0
HRV;1960;0;0;0
HRV;1970;0;0;0
HRV;1980;0;0;0
HRV;1990;0;0;2400000
HRV;2000;0;0;27775000
HRV;2010;0;600000;24100000
HRV;2020;3150000000;0;4341133300
CUB;1950;0;0;0
CUB;1960;0;0;51800000
CUB;1970;0;0;0
CUB;1980;0;0;14500000
CUB;1990;0;1500000;325955800
CUB;2000;0;2700000;751800000
CUB;2010;0;20000000;314000000
CUB;2020;0;0;33333334
CYP;1950;0;0;0
CYP;1960;0;0;10000
CYP;1970;0;0;0
CYP;1980;0;0;0
CYP;1990;0;0;434000
CYP;2000;0;600000;34000000
CYP;2010;0;0;0
CYP;2020;0;0;15666667
CZE;1950;0;0;0
CZE;1960;0;0;0
CZE;1970;0;0;0
CZE;1980;0;0;0
CZE;1990;0;32800000;211800000
CZE;2000;0;130600000;285313900
CZE;2010;0;38586600;117901200
CZE;2020;0;0;233666670
COD;1950;0;0;0
COD;1960;0;0;20000
COD;1970;0;0;0
COD;1980;0;0;0
COD;1990;0;0;0
COD;2000;0;0;1600000
COD;2010;0;0;1500000
COD;2020;0;0;0
DNK;1950;0;0;0
DNK;1960;0;0;0
DNK;1970;0;0;0
DNK;1980;0;0;25000000
DNK;1990;0;219000000;279493900
DNK;2000;0;90000000;140000000
DNK;2010;0;0;0
DNK;2020;0;0;0
DJI;1950;0;0;0
DJI;1960;0;0;0
DJI;1970;0;0;250000
DJI;1980;0;0;110000
DJI;1990;0;0;211900
DJI;2000;0;0;0
DJI;2010;0;0;0
DJI;2020;0;0;0
DMA;1950;0;0;0
DMA;1960;0;0;260000
DMA;1970;0;0;4465000
DMA;1980;0;0;2200000
DMA;1990;6500000;0;94670000
DMA;2000;0;1000000;2000000
DMA;2010;0;1930000;193881000
DMA;2020;0;0;0
DOM;1950;0;0;0
DOM;1960;0;0;6700000
DOM;1970;0;0;15000000
DOM;1980;0;0;7070000
DOM;1990;0;40000000;198150000
DOM;2000;0;3000000;55733300
DOM;2010;0;0;12310200
DOM;2020;0;0;55000000
ECU;1950;0;0;0
ECU;1960;0;0;910000
ECU;1970;0;0;2857000
ECU;1980;0;0;174710000
ECU;1990;0;1750000;79800000
ECU;2000;0;0;117977500
ECU;2010;334400000;56000000;201000000
ECU;2020;0;0;16666667
EGY;1950;0;0;0
EGY;1960;0;0;0
EGY;1970;0;0;1400000
EGY;1980;0;0;0
EGY;1990;0;0;134200000
EGY;2000;0;0;0
EGY;2010;0;0;12500000
EGY;2020;0;0;25333334
SLV;1950;0;0;2300000
SLV;1960;0;0;3660000
SLV;1970;0;0;0
SLV;1980;0;22500000;178500000
SLV;1990;0;0;38961000
SLV;2000;0;29000000;314490000
SLV;2010;0;0;102000000
SLV;2020;0;0;79000000
ERI;1950;0;0;0
ERI;1960;0;0;0
ERI;1970;0;0;0
ERI;1980;0;0;0
ERI;1990;0;0;516500
ERI;2000;0;0;0
ERI;2010;0;0;0
ERI;2020;0;0;0
EST;1950;0;0;0
EST;1960;0;0;0
EST;1970;0;0;0
EST;1980;0;0;0
EST;1990;0;0;17100000
EST;2000;0;2600000;17940000
EST;2010;0;0;13700000
EST;2020;0;0;0
SWZ;1950;0;0;0
SWZ;1960;0;0;0
SWZ;1970;0;0;0
SWZ;1980;0;0;5415200
SWZ;1990;0;0;0
SWZ;2000;0;0;5000
SWZ;2010;0;0;0
SWZ;2020;0;0;0
ETH;1950;0;0;0
ETH;1960;0;0;124000
ETH;1970;0;0;0
ETH;1980;0;0;0
ETH;1990;0;0;670000
ETH;2000;0;0;940000
ETH;2010;0;0;223600
ETH;2020;0;0;0
FJI;1950;0;0;200000
FJI;1960;0;0;210000
FJI;1970;0;0;9950000
FJI;1980;0;6840000;18950700
FJI;1990;0;0;15770000
FJI;2000;0;0;15869900
FJI;2010;0;5000000;219682700
FJI;2020;0;0;229706663
FIN;1950;0;0;0
FIN;1960;0;0;0
FIN;1970;0;0;0
FIN;1980;0;0;515500000
FIN;1990;0;0;1171860000
FIN;2000;0;0;319770900
FIN;2010;0;0;772000000
FIN;2020;0;0;0
FRA;1950;0;0;0
FRA;1960;0;0;2000000
FRA;1970;0;0;0
FRA;1980;0;13230000;831450000
FRA;1990;245000000;782450000;2840740000
FRA;2000;0;368800000;1325710900
FRA;2010;0;625500000;1556100000
FRA;2020;0;0;2217666606
GUF;1950;0;0;0
GUF;1960;0;0;0
GUF;1970;0;0;0
GUF;1980;0;0;3000000
GUF;1990;0;0;0
GUF;2000;0;0;0
GUF;2010;0;0;0
GUF;2020;0;0;0
PYF;1950;0;0;0
PYF;1960;0;0;0
PYF;1970;0;0;0
PYF;1980;0;0;3700000
PYF;1990;0;0;0
PYF;2000;0;0;0
PYF;2010;0;0;1300000
PYF;2020;0;0;0
GAB;1950;0;0;0
GAB;1960;0;0;0
GAB;1970;0;0;0
GAB;1980;0;0;160000000
GAB;1990;0;0;1000000
GAB;2000;0;0;0
GAB;2010;0;0;0
GAB;2020;0;0;0
GMB;1950;0;0;0
GMB;1960;0;0;0
GMB;1970;0;0;0
GMB;1980;0;0;0
GMB;1990;0;0;0
GMB;2000;0;0;0
GMB;2010;0;0;0
GMB;2020;0;0;0
