iso_code;year;total_reconstruction_costs;total_insured_damages;total_economic_damages
MNG;1950;0;0;0
MNG;1960;0;0;2500000
MNG;1970;0;0;0
MNG;1980;0;0;0
MNG;1990;0;0;323280000
MNG;2000;0;0;35236400
MNG;2010;0;0;0
MNG;2020;0;0;0
MNE;1950;0;0;0
MNE;1960;0;0;0
MNE;1970;0;0;0
MNE;1980;0;0;0
MNE;1990;0;0;0
MNE;2000;0;0;0
MNE;2010;0;0;0
MNE;2020;0;0;0
MSR;1950;0;0;0
MSR;1960;0;0;0
MSR;1970;0;0;0
MSR;1980;0;0;24000000
MSR;1990;0;0;2800000
MSR;2000;0;0;40600000
MSR;2010;0;0;0
MSR;2020;0;0;0
MAR;1950;0;0;0
MAR;1960;0;0;12500000
MAR;1970;0;0;3000000
MAR;1980;0;0;0
MAR;1990;0;0;6400000
MAR;2000;0;0;60305900
MAR;2010;0;0;32900000
MAR;2020;0;0;0
MOZ;1950;0;0;0
MOZ;1960;0;0;18000000
MOZ;1970;0;0;11850000
MOZ;1980;0;0;7550000
MOZ;1990;1400000;0;2695000
MOZ;2000;0;150000;65020000
MOZ;2010;0;15000000;228360000
MOZ;2020;0;0;0
MMR;1950;0;0;0
MMR;1960;0;0;1170000
MMR;1970;0;0;1100000
MMR;1980;0;0;0
MMR;1990;0;0;14495500
MMR;2000;0;0;450068800
MMR;2010;0;0;19907000
MMR;2020;0;0;0
NAM;1950;0;0;0
NAM;1960;0;0;0
NAM;1970;0;0;10000
NAM;1980;0;0;0
NAM;1990;0;0;90000000
NAM;2000;0;0;849000
NAM;2010;0;0;1200000
NAM;2020;0;0;0
NPL;1950;0;0;0
NPL;1960;0;0;130000
NPL;1970;0;0;51300
NPL;1980;0;0;41049000
NPL;1990;0;0;28640000
NPL;2000;0;500000;6872900
NPL;2010;0;10000000;600412300
NPL;2020;0;0;33333334
NLD;1950;0;0;30000000
NLD;1960;0;0;0
NLD;1970;0;0;0
NLD;1980;0;0;0
NLD;1990;0;127030000;354270000
NLD;2000;0;68500000;95000000
NLD;2010;0;54500000;99201100
NLD;2020;0;0;0
NCL;1950;0;0;70000
NCL;1960;0;0;300000
NCL;1970;0;0;1000000
NCL;1980;0;0;20000
NCL;1990;0;0;0
NCL;2000;0;0;4000000
NCL;2010;0;0;0
NCL;2020;0;0;0
NZL;1950;0;0;0
NZL;1960;0;0;266900
NZL;1970;0;0;246600
NZL;1980;0;0;24980000
NZL;1990;0;2060000;12650000
NZL;2000;0;11300000;53450000
NZL;2010;0;2117680000;2889110000
NZL;2020;0;0;125666664
NIC;1950;0;0;0
NIC;1960;0;0;350000
NIC;1970;0;10000000;84738000
NIC;1980;0;0;75600000
NIC;1990;0;0;110402200
NIC;2000;0;0;305000
NIC;2010;0;0;300000
NIC;2020;0;0;366333340
NER;1950;0;0;0
NER;1960;0;0;0
NER;1970;0;0;100000
NER;1980;0;0;1020000
NER;1990;0;0;0
NER;2000;0;0;0
NER;2010;0;0;26083900
NER;2020;0;0;0
NGA;1950;0;0;0
NGA;1960;0;0;0
NGA;1970;0;0;0
NGA;1980;0;0;800000
NGA;1990;0;0;16650000
NGA;2000;0;0;1242200
NGA;2010;510000;0;165850000
NGA;2020;0;0;33333334
NIU;1950;0;0;150000
NIU;1960;0;0;4100
NIU;1970;0;0;0
NIU;1980;0;0;0
NIU;1990;0;0;1800000
NIU;2000;0;0;4000000
NIU;2010;0;0;0
NIU;2020;0;0;0
PRK;1950;0;0;0
PRK;1960;0;0;0
PRK;1970;0;0;0
PRK;1980;0;0;0
PRK;1990;0;0;1731201000
PRK;2000;0;0;632990000
PRK;2010;0;0;12604000
PRK;2020;0;0;0
MKD;1950;0;0;0
MKD;1960;0;0;0
MKD;1970;0;0;0
MKD;1980;0;0;7110300
MKD;1990;0;0;24500000
MKD;2000;0;0;1716300
MKD;2010;0;0;14700000
MKD;2020;0;0;0
MNP;1950;0;0;0
MNP;1960;0;0;650000
MNP;1970;0;0;300700000
MNP;1980;0;0;181000000
MNP;1990;0;0;425000000
MNP;2000;0;0;498253900
MNP;2010;0;0;4083967000
MNP;2020;0;0;5500000000
NOR;1950;0;0;0
NOR;1960;0;0;0
NOR;1970;0;0;0
NOR;1980;0;0;0
NOR;1990;0;32080000;43300000
NOR;2000;0;4000000;13000000
NOR;2010;0;0;0
NOR;2020;0;0;43333332
OMN;1950;0;0;0
OMN;1960;0;0;0
OMN;1970;0;0;0
OMN;1980;0;0;0
OMN;1990;0;0;0
OMN;2000;0;65030000;395100000
OMN;2010;0;2600000;122100000
OMN;2020;0;0;26666666
PAK;1950;0;0;0
PAK;1960;0;0;1740000
PAK;1970;0;0;116975500
PAK;1980;0;0;700000
PAK;1990;0;0;111416600
PAK;2000;520000000;0;753664800
PAK;2010;0;10000000;1834600000
PAK;2020;0;0;503333340
PLW;1950;0;0;0
PLW;1960;0;0;0
PLW;1970;0;0;0
PLW;1980;0;0;0
PLW;1990;0;0;0
PLW;2000;0;0;0
PLW;2010;0;0;0
PLW;2020;0;0;0
PSE;1950;0;0;0
PSE;1960;0;0;0
PSE;1970;0;0;0
PSE;1980;0;0;0
PSE;1990;0;0;0
PSE;2000;0;0;0
PSE;2010;0;0;0
PSE;2020;0;0;0
PAN;1950;0;0;0
PAN;1960;0;0;60130000
PAN;1970;0;0;1505000
PAN;1980;0;0;609035000
PAN;1990;0;0;209005000
PAN;2000;0;0;201880000
PAN;2010;0;0;208990000
PAN;2020;0;0;0
PNG;1950;0;0;0
PNG;1960;0;0;0
PNG;1970;0;0;175000
PNG;1980;0;0;4102500
PNG;1990;0;0;16222800
PNG;2000;18300000;0;0
PNG;2010;0;0;8800000
PNG;2020;0;0;0
PRY;1950;0;0;0
PRY;1960;0;0;300000
PRY;1970;0;0;5000
PRY;1980;0;0;8200000
PRY;1990;0;0;25368700
PRY;2000;0;0;3082000
PRY;2010;0;0;3100000
PRY;2020;0;0;0
PER;1950;0;0;0
PER;1960;0;0;3510000
PER;1970;0;0;59250000
PER;1980;0;0;102750000
PER;1990;0;0;6410000
PER;2000;0;25000000;90005000
PER;2010;0;38000000;329600000
PER;2020;0;0;11666667
PHL;1950;0;0;5500000
PHL;1960;0;0;13210000
PHL;1970;0;0;115550600
PHL;1980;0;0;164083000
PHL;1990;0;7530000;321660800
PHL;2000;0;4650000;220731800
PHL;2010;530000;82300000;1894257000
PHL;2020;0;0;757094660
POL;1950;0;0;0
POL;1960;0;0;0
POL;1970;0;0;0
POL;1980;0;0;55500000
POL;1990;0;46000000;356100000
POL;2000;0;3000000;95015000
POL;2010;0;0;363290000
POL;2020;0;0;0
PRT;1950;0;0;0
PRT;1960;0;0;300000
PRT;1970;0;0;3210000
PRT;1980;0;0;19500000
PRT;1990;0;0;19230000
PRT;2000;0;600000;338000000
PRT;2010;200575100;62680000;268450000
PRT;2020;0;0;0
PRI;1950;0;0;0
PRI;1960;0;0;0
PRI;1970;0;0;0
PRI;1980;0;0;0
PRI;1990;0;36000000;290000000
PRI;2000;0;3000000;24600000
PRI;2010;0;3045000000;6850000000
PRI;2020;0;133333336;336599994
QAT;1950;0;0;0
QAT;1960;0;0;1000000
QAT;1970;0;0;0
QAT;1980;0;0;0
QAT;1990;0;0;28600000
QAT;2000;0;0;0
QAT;2010;0;0;1000000
QAT;2020;0;0;0
REU;1950;0;0;0
REU;1960;0;0;0
REU;1970;0;0;0
REU;1980;0;0;11900000
REU;1990;0;0;6400000
REU;2000;0;0;5045300
REU;2010;0;4900000;16939900
REU;2020;0;0;0
ROU;1950;0;0;0
ROU;1960;0;0;0
ROU;1970;0;0;255000000
ROU;1980;0;0;0
ROU;1990;0;2370000;37640000
ROU;2000;0;0;154879000
ROU;2010;0;0;112972800
ROU;2020;0;0;28333334
RUS;1950;0;0;0
RUS;1960;0;0;0
RUS;1970;0;0;0
RUS;1980;0;0;9500000
RUS;1990;0;0;158283600
RUS;2000;0;1600000;397146100
RUS;2010;0;5000000;466783500
RUS;2020;0;0;66666668
RWA;1950;0;0;0
RWA;1960;0;0;0
RWA;1970;0;0;0
RWA;1980;0;0;0
RWA;1990;0;0;200000
RWA;2000;0;0;900
RWA;2010;0;0;7200000
RWA;2020;0;0;0
BLM;1950;0;0;0
BLM;1960;0;0;0
BLM;1970;0;0;0
BLM;1980;0;0;0
BLM;1990;0;0;0
BLM;2000;0;0;0
BLM;2010;0;104880000;0
BLM;2020;0;0;0
SHN;1950;0;0;0
SHN;1960;0;0;0
SHN;1970;0;0;0
SHN;1980;0;0;0
SHN;1990;0;0;0
SHN;2000;0;0;0
SHN;2010;0;0;0
SHN;2020;0;0;0
KNA;1950;0;0;0
KNA;1960;0;0;0
KNA;1970;0;0;0
KNA;1980;0;0;4650000
KNA;1990;0;0;63840000
KNA;2000;0;0;50000000
KNA;2010;0;230000;2000000
KNA;2020;0;0;0
LCA;1950;0;0;0
LCA;1960;0;0;646500
LCA;1970;0;0;0
LCA;1980;0;0;9178000
LCA;1990;0;0;0
LCA;2000;0;2000000;4050000
LCA;2010;0;0;254050000
LCA;2020;0;0;11333333
MAF;1950;0;0;0
MAF;1960;0;0;0
MAF;1970;0;0;0
MAF;1980;0;0;0
MAF;1990;0;0;0
MAF;2000;0;0;0
MAF;2010;0;123120000;410000000
MAF;2020;0;0;0
VCT;1950;0;0;0
VCT;1960;0;0;450000
VCT;1970;0;0;0
VCT;1980;0;0;2660000
VCT;1990;0;0;0
VCT;2000;0;0;1600000
VCT;2010;0;0;13950000
VCT;2020;0;0;108333336
WSM;1950;0;0;0
WSM;1960;0;0;83800
WSM;1970;0;0;0
WSM;1980;0;0;7875000
WSM;1990;0;0;47800000
WSM;2000;0;0;12554000
WSM;2010;0;0;13300000
WSM;2020;0;0;0
STP;1950;0;0;0
STP;1960;0;0;0
STP;1970;0;0;0
STP;1980;0;0;0
STP;1990;0;0;0
STP;2000;0;0;0
STP;2010;0;0;0
STP;2020;0;0;0
SAU;1950;0;0;0
SAU;1960;0;0;0
SAU;1970;0;0;0
SAU;1980;0;0;45000000
SAU;1990;0;0;0
SAU;2000;0;0;90000000
SAU;2010;0;8000000;35200000
SAU;2020;0;0;0
SEN;1950;0;0;0
SEN;1960;0;0;5000
SEN;1970;0;0;200000
SEN;1980;0;0;140600
SEN;1990;0;0;0
SEN;2000;8400;0;4097900
SEN;2010;0;0;1000000
SEN;2020;0;0;6000000
SRB;1950;0;0;0
SRB;1960;0;0;0
SRB;1970;0;0;0
SRB;1980;0;0;0
SRB;1990;0;0;0
SRB;2000;0;0;0
SRB;2010;0;0;228052200
SRB;2020;0;0;9333333
SYC;1950;0;0;0
SYC;1960;0;0;0
SYC;1970;0;0;0
SYC;1980;0;0;0
SYC;1990;0;0;170000
SYC;2000;0;0;3000000
SYC;2010;0;0;930000
SYC;2020;0;0;0
SLE;1950;0;0;0
SLE;1960;0;0;0
SLE;1970;0;0;360000
SLE;1980;0;0;0
SLE;1990;0;0;0
SLE;2000;0;0;0
SLE;2010;0;0;3000000
SLE;2020;0;0;0
SXM;1950;0;0;0
SXM;1960;0;0;7480000
SXM;1970;0;0;30000000
SXM;1980;0;0;0
SXM;1990;0;0;0
SXM;2000;0;0;0
SXM;2010;0;50000000;250000000
SXM;2020;0;0;0
SVK;1950;0;0;0
SVK;1960;0;0;0
SVK;1970;0;0;0
SVK;1980;0;0;0
SVK;1990;0;300000;21830000
SVK;2000;0;550000;54230000
SVK;2010;0;0;2500000
SVK;2020;0;0;0
SVN;1950;0;0;0
SVN;1960;0;0;0
SVN;1970;0;0;0
SVN;1980;0;0;0
SVN;1990;0;0;0
SVN;2000;0;100000;48700000
SVN;2010;0;0;26500000
SVN;2020;0;0;0
SLB;1950;0;0;0
SLB;1960;0;0;0
SLB;1970;0;0;0
SLB;1980;0;0;2000000
SLB;1990;0;0;0
SLB;2000;0;0;0
SLB;2010;0;0;3000000
SLB;2020;0;0;0
SOM;1950;0;0;0
SOM;1960;0;0;0
SOM;1970;0;0;0
SOM;1980;0;0;0
SOM;1990;0;0;0
SOM;2000;0;0;10002000
SOM;2010;0;0;8200000
SOM;2020;0;0;0
ZAF;1950;0;0;0
ZAF;1960;0;0;5400000
ZAF;1970;0;0;0
ZAF;1980;0;30100000;90830500
ZAF;1990;0;11780000;61946000
ZAF;2000;12754800;6800000;86630500
ZAF;2010;0;63100000;185900000
ZAF;2020;0;0;1079666700
KOR;1950;0;0;0
KOR;1960;0;0;6480000
KOR;1970;0;0;27093400
KOR;1980;0;6800000;112462000
KOR;1990;0;5100000;312850800
KOR;2000;0;67400000;1061639500
KOR;2010;0;0;169100000
KOR;2020;0;266666670;544333340
SSD;1950;0;0;0
SSD;1960;0;0;0
SSD;1970;0;0;0
SSD;1980;0;0;0
SSD;1990;0;0;0
SSD;2000;0;0;0
SSD;2010;0;0;0
SSD;2020;0;0;0
ESP;1950;0;0;0
ESP;1960;0;0;8000000
ESP;1970;0;0;60000000
ESP;1980;0;0;749700000
ESP;1990;0;8990000;202801200
ESP;2000;0;107200000;659520800
ESP;2010;0;121200000;369500000
ESP;2020;0;51000000;1449666640
LKA;1950;0;0;0
LKA;1960;0;0;5380000
LKA;1970;0;0;10000000
LKA;1980;0;0;3893400
LKA;1990;0;0;128388000
LKA;2000;0;0;135155000
LKA;2010;0;13700000;418720000
LKA;2020;0;0;0
SDN;1950;0;0;0
SDN;1960;0;0;6500000
SDN;1970;0;0;232510000
SDN;1980;0;0;161660000
SDN;1990;0;0;92720000
SDN;2000;0;0;225770000
SDN;2010;0;0;1093170000
SDN;2020;0;0;2083333336
SUR;1950;0;0;0
SUR;1960;0;0;5000
SUR;1970;0;0;0
SUR;1980;0;0;0
SUR;1990;0;0;0
SUR;2000;0;0;0
SUR;2010;0;0;0
SUR;2020;0;0;0
SWE;1950;0;0;0
SWE;1960;0;0;0
SWE;1970;0;0;18100000
SWE;1980;0;0;580000
SWE;1990;0;12000000;17000000
SWE;2000;0;65000000;280000000
SWE;2010;0;0;10200000
SWE;2020;0;0;23333334
CHE;1950;0;0;2000000
CHE;1960;0;0;0
CHE;1970;0;0;0
CHE;1980;0;11700000;25750000
CHE;1990;0;173700000;331326000
CHE;2000;79500000;200000000;434500000
CHE;2010;0;13730000;26400000
CHE;2020;0;108000000;0
SYR;1950;0;0;0
SYR;1960;0;0;500000
SYR;1970;0;0;3900000
SYR;1980;0;0;296000000
SYR;1990;0;0;770000000
SYR;2000;0;0;0
SYR;2010;0;0;0
SYR;2020;0;0;0
TWN;1950;0;0;5000000
TWN;1960;0;0;10532200
TWN;1970;0;0;25100000
TWN;1980;0;0;48500000
TWN;1990;0;115500000;1614910000
TWN;2000;0;74300000;263429000
TWN;2010;0;45900000;273930000
TWN;2020;0;0;0
TJK;1950;0;0;0
TJK;1960;0;0;0
TJK;1970;0;0;0
TJK;1980;0;0;0
TJK;1990;0;0;54545400
TJK;2000;0;0;98967000
TJK;2010;0;0;21326000
TJK;2020;0;0;3000000
TZA;1950;0;0;0
TZA;1960;0;0;100000
TZA;1970;0;0;300000
TZA;1980;0;0;0
TZA;1990;0;0;379000
TZA;2000;0;0;0
TZA;2010;19400000;0;46000000
TZA;2020;0;0;0
THA;1950;0;0;0
THA;1960;0;0;2000000
THA;1970;0;0;44500000
THA;1980;0;0;110964600
THA;1990;0;0;280948800
THA;2000;0;27500000;167931300
THA;2010;0;1004600000;4275396100
THA;2020;0;0;213666670
TLS;1950;0;0;0
TLS;1960;0;0;0
TLS;1970;0;0;0
TLS;1980;0;0;0
TLS;1990;0;0;0
TLS;2000;0;0;0
TLS;2010;0;0;400000
TLS;2020;0;0;0
TGO;1950;0;0;0
TGO;1960;0;0;20000
TGO;1970;0;0;0
TGO;1980;0;0;0
TGO;1990;0;0;0
TGO;2000;0;0;0
TGO;2010;0;0;0
TGO;2020;0;0;0
TKL;1950;0;0;0
TKL;1960;0;0;0
TKL;1970;0;0;0
TKL;1980;0;0;50000
TKL;1990;0;0;240000
TKL;2000;0;0;0
TKL;2010;0;0;0
TKL;2020;0;0;0
TON;1950;0;0;0
TON;1960;0;0;50000
TON;1970;0;0;280000
TON;1980;0;0;2230000
TON;1990;0;0;250000
TON;2000;0;0;11780000
TON;2010;0;0;3400000
TON;2020;0;0;76000000
TTO;1950;0;0;0
TTO;1960;0;0;3000000
TTO;1970;0;0;500000
TTO;1980;0;0;0
TTO;1990;0;0;2507000
TTO;2000;0;0;100000
TTO;2010;0;0;370000
TTO;2020;0;0;0
TUN;1950;0;0;0
TUN;1960;0;0;10300000
TUN;1970;0;0;500000
TUN;1980;0;0;9000000
TUN;1990;0;0;24480000
TUN;2000;0;0;42230000
TUN;2010;0;0;333720000
TUN;2020;0;0;0
TUR;1950;0;0;357000
TUR;1960;0;0;3020000
TUR;1970;0;0;10260000
TUR;1980;0;0;4000000
TUR;1990;3500000000;201080000;2381030000
TUR;2000;0;25100000;116300000
TUR;2010;0;40400000;234400000
TUR;2020;0;0;537000006
TKM;1950;0;0;0
TKM;1960;0;0;0
TKM;1970;0;0;50000
TKM;1980;0;0;0
TKM;1990;0;0;9987000
TKM;2000;0;0;0
TKM;2010;0;0;0
TKM;2020;0;0;0
TCA;1950;0;0;0
TCA;1960;0;0;0
TCA;1970;0;0;0
TCA;1980;0;0;500
TCA;1990;0;0;0
TCA;2000;0;0;50000000
TCA;2010;0;1490000;50000000
TCA;2020;0;0;0
TUV;1950;0;0;0
TUV;1960;0;0;0
TUV;1970;0;0;0
TUV;1980;0;0;0
TUV;1990;0;0;0
TUV;2000;0;0;0
TUV;2010;0;0;0
TUV;2020;0;0;0
UGA;1950;0;0;0
UGA;1960;0;0;150000
UGA;1970;0;0;0
UGA;1980;0;0;0
UGA;1990;0;0;7100000
UGA;2000;0;0;7100
UGA;2010;0;0;580000
UGA;2020;0;0;0
UKR;1950;0;0;0
UKR;1960;0;0;0
UKR;1970;0;0;0
UKR;1980;0;0;0
UKR;1990;0;0;29285900
UKR;2000;0;0;134385500
UKR;2010;0;0;2290000
UKR;2020;0;0;161953668
ARE;1950;0;0;0
ARE;1960;0;0;0
ARE;1970;0;0;0
ARE;1980;0;0;0
ARE;1990;0;0;0
ARE;2000;0;0;0
ARE;2010;0;0;0
ARE;2020;0;0;0
GBR;1950;0;0;0
GBR;1960;0;0;250000
GBR;1970;0;0;100000
GBR;1980;0;145200000;164650000
GBR;1990;0;665280000;931048000
GBR;2000;0;928200000;1885620000
GBR;2010;0;336903400;757050000
GBR;2020;0;0;0
USA;1950;0;0;359590000
USA;1960;0;0;686700000
USA;1970;0;3500000;1158175000
USA;1980;0;422160000;3568557000
USA;1990;6250000;7349530000;15573670000
USA;2000;0;17720350000;34023746000
USA;2010;0;23692750000;51218590000
USA;2020;0;31100000000;73723337000
VIR;1950;0;0;0
VIR;1960;0;0;0
VIR;1970;0;0;0
VIR;1980;0;0;2180000
VIR;1990;0;65500000;121600000
VIR;2000;0;0;0
VIR;2010;0;0;0
VIR;2020;0;0;0
URG;1950;0;0;0
URG;1960;0;0;3900000
URG;1970;0;0;0
URG;1980;0;0;0
URG;1990;0;0;500000
URG;2000;0;0;7000000
URG;2010;0;0;169300000
URG;2020;0;0;0
UZB;1950;0;0;0
UZB;1960;0;0;0
UZB;1970;0;0;0
UZB;1980;0;0;0
UZB;1990;0;0;0
UZB;2000;0;0;0
UZB;2010;0;0;0
UZB;2020;0;0;0
VUT;1950;0;0;25000
VUT;1960;0;0;0
VUT;1970;0;0;0
VUT;1980;0;0;19900000
VUT;1990;0;0;600000
VUT;2000;0;0;0
VUT;2010;0;0;45140000
VUT;2020;0;0;0
VEN;1950;0;0;0
VEN;1960;0;0;14412600
VEN;1970;0;0;0
VEN;1980;0;0;180000
VEN;1990;0;40200000;568050000
VEN;2000;0;0;475400000
VEN;2010;0;0;4047900000
VEN;2020;0;0;5510000000
VNM;1950;0;0;0
VNM;1960;0;0;6000000
VNM;1970;0;0;0
VNM;1980;0;0;2100000
VNM;1990;0;500000;222234500
VNM;2000;0;3800000;481308500
VNM;2010;0;200000;742202400
VNM;2020;0;0;485497340
WLF;1950;0;0;0
WLF;1960;0;0;4561800
WLF;1970;0;0;230210000
WLF;1980;0;0;162388700
WLF;1990;0;0;1726930000
WLF;2000;0;0;1278125400
WLF;2010;0;0;2952647000
WLF;2020;0;0;4700000000
YEM;1950;0;0;0
YEM;1960;0;0;0
YEM;1970;0;0;0
YEM;1980;0;0;0
YEM;1990;0;0;121150000
YEM;2000;0;0;45000000
YEM;2010;0;0;20000000
YEM;2020;0;0;0
ZMB;1950;0;0;0
ZMB;1960;0;0;0
ZMB;1970;0;0;20000
ZMB;1980;0;0;0
ZMB;1990;0;0;2070000
ZMB;2000;0;0;0
ZMB;2010;0;0;0
ZMB;2020;0;0;0
ZWE;1950;0;0;0
ZWE;1960;0;0;0
ZWE;1970;0;0;0
ZWE;1980;0;0;0
ZWE;1990;0;0;40700000
ZWE;2000;0;0;51982000
ZWE;2010;0;0;695900000
ZWE;2020;0;0;0
