iso_code;year;drought;earthquakes;volcanic_activity;floods;storms;landslides;wildfires;extreme_temperatures;disasters
BGD;1970;0;0;0;0;0;0;0;0;0
BGD;1980;0;0;0;0;0;0;0;0;0
BGD;1990;0;0;0;0;0;0;0;0;170
BGD;2000;0;0;0;0;2050;0;0;0;2050
BGD;2010;0;0;0;100;3165;0;0;0;3265
BGD;2020;0;0;0;0;0;0;0;0;0
BRB;1950;0;0;0;0;0;0;0;0;0
BRB;1960;0;0;0;1641089.2;1293589.2;0;0;0;3626622.8
BRB;1970;200;0;0;5061365;369811;0;0;0;5634981
BRB;1980;2500000;0;0;12284300;1459886;0;0;0;16554406
BRB;1990;0;0;0;5725959.5;2161714.8;0;0;3400;8187303
BRB;2000;0;350;0;5860179.5;1309665.8;0;0;20100;7213937
BRB;2010;0;0;0;2972601;921457.9;15413;0;17700;3949741
BRB;2020;0;0;0;4305671.5;1316666.6;0;0;0;5622338.5
BLR;1950;0;0;0;0;0;0;0;0;0
BLR;1960;0;0;0;0;0;0;0;0;0
BLR;1970;0;0;0;20;0;0;0;0;21
BLR;1980;0;0;0;0;0;0;0;0;533.7
BLR;1990;0;0;0;0;0;0;0;0;0
BLR;2000;0;0;0;0;0;0;0;0;288.1
BLR;2010;0;0;0;0;250;0;0;0;250
BLR;2020;0;0;0;0;1038;0;0;0;1100
BEL;1950;0;0;0;0;0;0;0;0;0
BEL;1960;0;0;0;0;0;0;0;0;0
BEL;1970;0;0;0;0;0;0;0;0;0
BEL;1980;0;0;0;0;0;0;0;0;0
BEL;1990;0;0;0;4200;2104.5;0;0;0;6339
BEL;2000;0;0;0;0;0;0;0;0;182
BEL;2010;0;0;0;5000;0;0;0;9010;14349.4
BEL;2020;0;0;0;0;0;0;0;0;0
BLZ;1950;0;0;0;35;0;0;0;0;35
BLZ;1960;0;0;0;0;0;0;0;0;10
BLZ;1970;0;0;0;60;0;0;0;0;60
BLZ;1980;0;100;0;0;0;0;0;0;103
BLZ;1990;0;0;0;87.5;170;0;0;0;258
