iso_code;year;nopif_drought;nopif_earthquakes;nopif_volcanic_activity;nopif_floods;nopif_storms;nopif_landslides;nopif_wildfires;nopif_extreme_temperatures
BEL;2020;0;0;0;0;0;0;0;0
BLZ;1950;0;0;0;0;0;0;0;0
BLZ;1960;0;0;0;0;0;0;0;0
BLZ;1970;0;0;0;0;0;0;0;0
BLZ;1980;0;0;0;0;0;0;0;0
BLZ;1990;0;0;0;0;0;0;0;0
BLZ;2000;0;0;0;0;57;0;0;0
BLZ;2010;0;0;0;0;0;0;0;0
BLZ;2020;0;0;0;0;0;0;0;0
BEN;1950;0;0;0;0;0;0;0;0
BEN;1960;0;0;0;0;0;0;0;0
BEN;1970;0;0;0;0;0;0;20;0
BEN;1980;0;0;0;0;0;0;0;0
BEN;1990;0;0;0;0;0;0;0;0
BEN;2000;0;0;0;0;0;0;0;0
BEN;2010;0;0;0;100;0;0;0;0
BEN;2020;0;0;0;0;0;0;0;0
BMU;1950;0;0;0;0;0;0;0;0
BMU;1960;0;0;0;0;0;0;0;0
BMU;1970;0;0;0;0;0;0;0;0
BMU;1980;0;0;0;0;4;0;0;0
BMU;1990;0;0;0;0;0;0;0;0
BMU;2000;0;0;0;0;0;0;0;0
BMU;2010;0;0;0;0;0;0;0;0
BMU;2020;0;0;0;0;0;0;0;0
BTN;1950;0;0;0;0;0;0;0;0
BTN;1960;0;0;0;0;0;0;0;0
BTN;1970;0;0;0;0;0;0;0;0
BTN;1980;0;0;0;0;0;0;0;0
BTN;1990;0;0;0;0;0;0;0;0
BTN;2000;0;1;0;0;0;0;0;0
BTN;2010;0;2;0;0;0;0;0;0
BTN;2020;0;1;0;0;0;0;0;0
BOL;1950;0;0;0;0;0;0;0;0
BOL;1960;0;0;0;20;0;0;0;0
BOL;1970;0;0;0;0;0;0;0;0
BOL;1980;0;0;0;0;0;0;0;0
BOL;1990;0;5;0;5;0;12;0;0
BOL;2000;0;0;0;26;0;1;0;1
BOL;2010;0;0;0;19;0;3;0;0
BOL;2020;0;0;0;6;0;0;0;0
BIH;1950;0;0;0;0;0;0;0;0
BIH;1960;0;0;0;0;0;0;0;0
BIH;1970;0;0;0;0;0;0;0;0
BIH;1980;0;0;0;0;0;0;0;0
BIH;1990;0;0;0;0;0;0;0;0
BIH;2000;0;0;0;0;0;0;0;0
BIH;2010;0;0;0;0;0;0;0;0
BIH;2020;0;1;0;0;0;0;0;0
BWA;1950;0;0;0;0;0;0;0;0
BWA;1960;0;0;0;0;0;0;0;0
BWA;1970;0;0;0;0;0;0;0;0
BWA;1980;0;0;0;1;0;0;0;0
BWA;1990;0;0;0;0;0;0;0;0
BWA;2000;0;0;0;0;0;0;0;0
BWA;2010;0;0;0;0;0;0;0;0
BWA;2020;0;0;0;0;0;0;0;0
BRA;1950;0;0;0;0;0;0;0;0
BRA;1960;0;0;0;629;0;0;0;0
BRA;1970;0;0;0;200;10;0;0;60
BRA;1980;0;0;0;233;135;4;0;0
BRA;1990;0;0;0;47;8;17;0;0
BRA;2000;0;1;0;93;13;0;0;0
BRA;2010;0;0;0;62;16;0;220;0
BRA;2020;0;0;0;264;0;0;0;0
VGB;1950;0;0;0;0;0;0;0;0
VGB;1960;0;0;0;0;0;0;0;0
VGB;1970;0;0;0;0;0;0;0;0
VGB;1980;0;0;0;0;0;0;0;0
VGB;1990;0;0;0;0;0;0;0;0
VGB;2000;0;0;0;0;0;0;0;0
VGB;2010;0;0;0;0;0;0;0;0
VGB;2020;0;0;0;0;0;0;0;0
BRN;1950;0;0;0;0;0;0;0;0
BRN;1960;0;0;0;0;0;0;0;0
BRN;1970;0;0;0;0;0;0;0;0
BRN;1980;0;0;0;0;0;0;0;0
BRN;1990;0;0;0;0;0;0;0;0
BRN;2000;0;0;0;0;0;0;0;0
BRN;2010;0;0;0;0;0;0;0;0
BRN;2020;0;0;0;0;0;0;0;0
BGR;1950;0;0;0;0;0;0;0;0
BGR;1960;0;0;0;0;0;0;0;0
BGR;1970;0;17;0;0;0;0;0;0
BGR;1980;0;6;0;0;0;0;0;0
BGR;1990;0;0;0;0;0;0;0;2
BGR;2000;0;0;0;1;0;0;3;7
BGR;2010;0;7;0;0;4;0;0;0
BGR;2020;0;0;0;0;0;0;0;0
BFA;1950;0;0;0;0;0;0;0;0
BFA;1960;0;0;0;0;0;0;0;0
BFA;1970;0;0;0;0;0;0;0;0
BFA;1980;0;0;0;0;0;0;0;0
BFA;1990;0;0;0;0;0;0;0;0
BFA;2000;0;0;0;109;0;0;0;0
BFA;2010;0;0;0;10;0;0;0;0
BFA;2020;0;0;0;37;0;0;0;0
BDI;1950;0;0;0;0;0;0;0;0
BDI;1960;0;0;0;0;0;0;0;0
BDI;1970;0;0;0;0;0;0;0;0
BDI;1980;0;0;0;0;0;0;0;0
BDI;1990;0;0;0;0;0;0;0;0
BDI;2000;0;0;0;1;1;0;0;0
BDI;2010;0;0;0;22;5;1;0;0
BDI;2020;0;0;0;6;0;0;0;0
KHM;1950;0;0;0;0;0;0;0;0
