iso_code,year,nodf_drought,nodf_earthquakes,nodf_volcanic_activity,nodf_floods,nodf_storms,nodf_landslides,nodf_wildfires,nodf_extreme_temperatures
BLR,1990,0,0,0,0.2,0.5,0,0,0
BLR,2000,0,0,0,0,0,0,0,0.5
BLR,2010,0,0,0,0,0,0,0,45173
BLR,2020,0,0,0,0,0,0,0,0
BEL,1950,0,0,0,45047,0,0,0,0
BEL,1960,0,0,0,0,0,0,0,44958
BEL,1970,0,0,0,0,0,0,0,0
BEL,1980,0,0.2,0,0,0,0,0,0
BEL,1990,0,0,0,0.1,45018,0,0,0
BEL,2000,0,0,0,0.2,0.7,0,0,211.8
BEL,2010,0,0,0,0.4,0.8,0,0,112.9
BEL,2020,0,0,0,13,0.67,0,0,486.67
BLZ,1950,0,0,0,0,45078,0,0,0
BLZ,1960,0,0,0,0,45073,0,0,0
BLZ,1970,0,0,0,0,0.5,0,0,0
BLZ,1980,0,0,0,0,0,0,0,0
BLZ,1990,0,0,0,0,0.9,0,0,0
BLZ,2000,0,0,0,0.1,45021,0,0,0
BLZ,2010,0,0,0,0,0,0,0,0
BLZ,2020,0,0,0,0,0,0,0,0
BEN,1950,0,0,0,0,0,0,0,0
BEN,1960,0,0,0,0,0,0,0,0
BEN,1970,0,0,0,0,0,0,0.2,0
BEN,1980,0,0,0,44932,0,0,0,0
BEN,1990,0,0,0,45110,0,0,0,0
BEN,2000,0,0,0,45049,0,0,0,0
BEN,2010,0,0,0,5,0,0,0.1,0
BEN,2020,0,0,0,21,0,0,0,0
BMU,1950,0,0,0,0,0,0,0,0
BMU,1960,0,0,0,0,0,0,0,0
BMU,1970,0,0,0,0,0,0,0,0
BMU,1980,0,0,0,0,0,0,0,0
BMU,1990,0,0,0,0,0,0,0,0
BMU,2000,0,0,0,0,0.4,0,0,0
BMU,2010,0,0,0,0,0,0,0,0
BMU,2020,0,0,0,0,0,0,0,0
BTN,1950,0,0,0,0,0,0,0,0
BTN,1960,0,0,0,0,0,0,0,0
BTN,1970,0,0,0,0,0,0,0,0
BTN,1980,0,0,0,0,0,0,0,0
BTN,1990,0,0,0,44959,45108,0,0,0
BTN,2000,0,44927,0,20,44958,0,0,0
BTN,2010,0,0.1,0,0,0,0,0,0
BTN,2020,0,0,0,12114,0,0,0,0
BOL,1950,0,0,0,0,0,0,0,0
BOL,1960,0,0,0,45145,0,0,0,0
BOL,1970,0,0,0,44934,0,0,0,0
BOL,1980,0,0,0,45046,0,0,0,0
BOL,1990,0,10,0,6,0,45183,0.3,0
BOL,2000,0,0,0,36.1,2,45175,0,45047
BOL,2010,0,0,0,32.3,0,45088,0,44959
BOL,2020,0,0,0,45.33,0,0,24473,0
BIH,1950,0,0,0,0,0,0,0,0
BIH,1960,0,0,0,0,0,0,0,0
BIH,1970,0,0,0,0,0,0,0,0
BIH,1980,0,0,0,0,0,0,0,0
BIH,1990,0,0,0,0,0,0,0,0
BIH,2000,0,0,0,0,0.4,0.6,0,0.1
BIH,2010,0,0,0,3,0,0,0,0.6
