iso_code,Year,Number of total people affected by drought,Number of total people affected by earthquakes,Number of total people affected by volcanic activity,Number of total people affected by floods,Number of total people affected by storms,Number of total people affected by landslides,Number of total people affected by wildfires,Number of total people affected by extreme temperatures
BLR,1950,0,0,0,0,0,0,0,0
BLR,1960,0,0,0,0,0,0,0,0
BLR,1970,0,0,0,0,0,0,0,0
BLR,1980,0,0,0,0,0,0,0,0
BLR,1990,0,0,0,4200,2139,0,0,0
BLR,2000,0,0,0,0,0,0,0,182
BLR,2010,0,0,0,5000,0,0,0,9349.4
BLR,2020,0,0,0,0,0,0,0,0
BEL,1950,0,0,0,35,0,0,0,0
BEL,1960,0,0,0,0,10,0,0,0
BEL,1970,0,0,0,60,0,0,0,0
BEL,1980,0,103,0,0,0,0,0,0
BEL,1990,0,0,0,87.5,170.5,0,0,0
BEL,2000,0,0,0,261,0.2,0,0,0
BEL,2010,0,0,0,69,44933,0,0,0
BEL,2020,0,0,0,33983332,0,0,0,0
BLZ,1950,0,0,0,0,0,0,0,0
BLZ,1960,0,0,0,0,0,0,0,0
BLZ,1970,0,0,0,1700,7600,0,0,0
BLZ,1980,0,0,0,0,0,0,0,0
BLZ,1990,0,0,0,260,6000,0,0,0
BLZ,2000,0,0,0,3800,11257,0,0,0
BLZ,2010,0,0,0,2000,1035.5,0,0,0
BLZ,2020,0,0,0,0,77383336,0,0,0
BEN,1950,0,0,0,0,0,0,0,0
BEN,1960,11500,0,0,0,0,0,0,0
BEN,1970,0,0,0,0,0,0,720,0
BEN,1980,210000,0,0,113900,0,0,0,0
BEN,1990,0,0,0,83419.6,0,0,0,0
BEN,2000,0,0,0,28877.6,80,0,0,0
BEN,2010,0,0,0,92457.5,0,0,275.9,0
BEN,2020,0,0,0,38616668,0,0,0,0
BMU,1950,0,0,0,0,0,0,0,0
BMU,1960,0,0,0,0,0,0,0,0
BMU,1970,0,0,0,0,0,0,0,0
BMU,1980,0,0,0,0,4,0,0,0
BMU,1990,0,0,0,0,0,0,0,0
BMU,2000,0,0,0,0,0,0,0,0
BMU,2010,0,0,0,0,0,0,0,0
BMU,2020,0,0,0,0,0,0,0,0
BTN,1950,0,0,0,0,0,0,0,0
BTN,1960,0,0,0,0,0,0,0,0
BTN,1970,0,0,0,0,0,0,0,0
BTN,1980,0,0,0,0,0,0,0,0
BTN,1990,0,0,0,60,6500,0,0,0
BTN,2000,0,44958,0,100,0,0,0,0
BTN,2010,0,2001.6,0,0,0,0,0,0
BTN,2020,0,16733333,0,0,0,0,0,0
BOL,1950,0,0,0,0,0,0,0,0
BOL,1960,0,0,0,3280,0,0,0,0
BOL,1970,0,0,0,28600,0,0,0,0
BOL,1980,308304.9,0,0,42847.5,0,0,0,0
BOL,1990,33316,1805,0,23165,0,16562.3,630,0
BOL,2000,10250,0,0,144105.4,1874,100.1,300,2528.2
BOL,2010,111903.5,0,300,151892.1,0,1542.9,3630,1749
BOL,2020,0,0,0,238736,0,0,42000,0
BIH,1950,0,0,0,0,0,0,0,0
BIH,1960,0,0,0,0,0,0,0,0
BIH,1970,0,0,0,0,0,0,0,0
BIH,1980,0,0,0,0,0,0,0,0
BIH,1990,0,0,0,0,109,0,0,0
BIH,2000,6257.5,0,0,29383,0,40.3,0,1000
BIH,2010,0,0,0,103626.9,0,0,0,1034.7
BIH,2020,0,35066666,0,88333336,0,0,0,0
BWA,1950,0,0,0,0,0,0,0,0
BWA,1960,12000,0,0,0,0,0,0,0
BWA,1970,8760,0,0,100,0,0,0,0
BWA,1980,103730,0,0,1200.7,0,0,0,0
BWA,1990,10000,0,0,550,0,0,0,0
BWA,2000,0,0,0,14839.2,40,0,0,0
BWA,2010,3800,0,0,1168.5,0,0,0,0
BWA,2020,0,0,0,0,0,0,0,0
BRA,1950,0,0,0,0,0,0,0,0
BRA,1960,0,0,0,82598.6,0,400000,0,0
BRA,1970,1500000,0,0,290237.1,10,0,0,60
BRA,1980,2075000,2300,0,878961.3,5254.8,7804,0,0
BRA,1990,1000000,0,0,31779.3,167.6,977.4,1200,0
BRA,2000,200000,45105,0,429117.2,15776.8,15050,0,0
BRA,2010,3106200,0,0,312627.8,2490.1,30,1000219.5,0
BRA,2020,0,0,0,601314,373,0,0,0
VGB,1950,0,0,0,0,0,0,0,0
VGB,1960,0,0,0,0,0,0,0,0
VGB,1970,0,0,0,0,0,0,0,0
VGB,1980,0,0,0,0,0,0,0,0
VGB,1990,0,0,0,0,0.3,0,0,0
VGB,2000,0,0,0,0,0,0,0,0
VGB,2010,0,0,0,0,0,0,0,0
VGB,2020,0,0,0,0,0,0,0,0
BRN,1950,0,0,0,0,0,0,0,0
BRN,1960,0,0,0,0,0,0,0,0
BRN,1970,0,0,0,0,0,0,0,0
BRN,1980,0,0,0,0,0,0,0,0
BRN,1990,0,0,0,0,0,0,0,0
BRN,2000,0,0,0,0,0,0,0,0
BRN,2010,0,0,0,0,0,0,0,0
BRN,2020,0,0,0,0,0,0,0,0
BGR,1950,0,0,0,0,0,0,0,0
BGR,1960,0,0,0,0,0,0,0,0
BGR,1970,0,45062,0,0,0,0,0,0
BGR,1980,0,306,0,0,0,0,0,0
BGR,1990,0,0,0,20,585,0,0,32.3
BGR,2000,0,52.7,0,1327,0,0,45094,7
BGR,2010,0,21,0,4714.7,4,0,0,0
BGR,2020,0,0,0,3654,0,0,16666667,0
BFA,1950,0,0,0,0,0,0,0,0
BFA,1960,97500,0,0,0,0,0,0,0
BFA,1970,44200,0,0,90,0,0,0,0
BFA,1980,145000,0,0,3539.6,0,0,0,0
BFA,1990,269629,0,0,6806,0,0,0,0
BFA,2000,0,0,0,31514.3,0,0,0,0
BFA,2010,685000,0,0,23045.8,0,0,0,0
BFA,2020,966666.7,0,0,43484,0,0,0,0
BDI,1950,0,0,0,0,0,0,0,0
BDI,1960,0,0,0,0,0,0,0,0
BDI,1970,0,0,0,0,0,0,0,0
BDI,1980,0,0,0,360,0,0,0,0
BDI,1990,65000,0,0,0,3081,0,0,0
BDI,2000,241250,12,0,7528.1,1700.5,0,0,0
BDI,2010,0,0,0,7126.5,155,1362.2,0,0
BDI,2020,0,0,0,28041334,16666666,0,0,0
KHM,1950,0,0,0,0,0,0,0,0
